id,name,mode,lat,lon,live_crowding_percentage,live_data_available,day_of_week,last_updated
940GZZLUGGH,Grange Hill Underground Station,tube,51.613378,0.092066,2.43,True,WED,18:11
940GZZLUGGN,Golders Green Underground Station,tube,51.572259,-0.194039,31.21,True,WED,18:11
940GZZLUGHK,Goldhawk Road Underground Station,tube,51.502005,-0.226715,20.47,True,WED,18:11
940GZZLUGPK,Green Park Underground Station,tube,51.506947,-0.142787,70.16,True,WED,18:11
940GZZLUGPS,Great Portland Street Underground Station,tube,51.52384,-0.144262,30.05,True,WED,18:11
940GZZLUGTH,Gants Hill Underground Station,tube,51.576544,0.066185,29.19,True,WED,18:11
940GZZLUGTR,Gloucester Road Underground Station,tube,51.494316,-0.182658,35.36,True,WED,18:11
940GZZLUHAI,Highbury & Islington Underground Station,tube,51.54635,-0.103324,21.48,True,WED,18:11
940GZZLUHAW,Harrow & Wealdstone Underground Station,tube,51.592268,-0.335217,22.8,True,WED,18:11
940GZZLUHBN,Holborn Underground Station,tube,51.51758,-0.120475,65.05,True,WED,18:11
940GZZLUHBT,High Barnet Underground Station,tube,51.650541,-0.194298,10.48,True,WED,18:11
940GZZLUHCH,Hornchurch Underground Station,tube,51.554093,0.219116,8.57,True,WED,18:11
940GZZLUHCL,Hendon Central Underground Station,tube,51.583301,-0.226424,15.31,True,WED,18:11
940GZZLUHGD,Hillingdon Underground Station,tube,51.553715,-0.449828,7.77,True,WED,18:11
940GZZLUHGR,Hanger Lane Underground Station,tube,51.530177,-0.292704,27.07,True,WED,18:11
940GZZLUHGT,Highgate Underground Station,tube,51.577532,-0.145857,9.66,True,WED,18:11
940GZZLUHLT,Hainault Underground Station,tube,51.603659,0.093482,9.11,True,WED,18:11
940GZZLUHNX,Hatton Cross Underground Station,tube,51.466747,-0.423191,30.58,True,WED,18:11
940GZZLUHOH,Harrow-on-the-Hill Underground Station,tube,51.579195,-0.337225,31.39,True,WED,18:11
940GZZLUHPC,Hyde Park Corner Underground Station,tube,51.503035,-0.152441,21.69,True,WED,18:11
940GZZLUHPK,Holland Park Underground Station,tube,51.507143,-0.205679,23.88,True,WED,18:11
940GZZLUHR4,Heathrow Terminal 4 Underground Station,tube,51.458524,-0.445771,8.58,True,WED,18:11
940GZZLUHR5,Heathrow Terminal 5 Underground Station,tube,51.470052,-0.49056,,False,,
940GZZLUHRC,Heathrow Terminals 2 & 3 Underground Station,tube,51.471235,-0.452265,14.06,True,WED,18:11
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,tube,51.49339,-0.22503,25.48,True,WED,18:11
940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,tube,51.4923,-0.22362,,False,,
940GZZLUHSK,High Street Kensington Underground Station,tube,51.501055,-0.192792,38.83,True,WED,18:11
940GZZLUHSN,Harlesden Underground Station,tube,51.53631,-0.257883,16.32,True,WED,18:11
940GZZLUHTD,Hampstead Underground Station,tube,51.556239,-0.177464,24.17,True,WED,18:11
940GZZLUHWC,Hounslow Central Underground Station,tube,51.471295,-0.366578,16.46,True,WED,18:11
940GZZLUHWE,Hounslow East Underground Station,tube,51.473213,-0.356474,19.96,True,WED,18:11
940GZZLUHWT,Hounslow West Underground Station,tube,51.473469,-0.386544,18.29,True,WED,18:11
940GZZLUHWY,Holloway Road Underground Station,tube,51.552697,-0.113244,22.35,True,WED,18:11
940GZZLUICK,Ickenham Underground Station,tube,51.561992,-0.442001,9.81,True,WED,18:11
940GZZLUKBN,Kilburn Underground Station,tube,51.547183,-0.204248,20.79,True,WED,18:11
940GZZLUKBY,Kingsbury Underground Station,tube,51.584845,-0.27879,7.04,True,WED,18:11
940GZZLUKEN,Kenton Underground Station,tube,51.581756,-0.31691,9.47,True,WED,18:11
940GZZLUKNB,Knightsbridge Underground Station,tube,51.501669,-0.160508,48.88,True,WED,18:11
940GZZLUKNG,Kennington Underground Station,tube,51.488337,-0.105963,42.39,True,WED,18:11
940GZZLUKOY,Kensington (Olympia) Underground Station,tube,51.497624,-0.210015,,False,,
940GZZLUKPK,Kilburn Park Underground Station,tube,51.534979,-0.194232,43.29,True,WED,18:11
940GZZLUKSH,Kentish Town Underground Station,tube,51.550312,-0.140733,98.97,True,WED,18:11
940GZZLUKSL,Kensal Green Underground Station,tube,51.530539,-0.225016,21.26,True,WED,18:11
940GZZLUKSX,King's Cross St. Pancras Underground Station,tube,51.530663,-0.123194,78.33,True,WED,18:11
